PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.6004056795132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4499787143465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5200659703134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,A,3,7,D,2, ,F,I,R,S,T, ,F,L,O,O,R
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,52,220.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,75,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,29,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,12,178.200025778733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,8,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.6025521319639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.449942940139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5200255540813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,N,E,L,L,S, ,R,I,D,G,E, ,U,N,I,T, ,B,4,4,K, ,F,I,R,S,T, ,F,L,O,O,R,
Material Total,Category,Description,Size,Quantity,Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat Channel,Metal,"1 1/2"" 25 GA",12,68,288.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Firecode,Drywall,40,4 X 10,103,1256.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8 Mold Tough/Xp,Drywall,40,4 X 10,35,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mud,Drywall,USG Taping,5 Gal BKT,15,222.749975510204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tape,Drywall,DW TAPE,250' Roll,11,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN HEADS,Metal,"8 1/2"" PAN","8 1/2""",1,78.6006772186786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin,Metal,"3/4"" TF PIN W/FUEL","3/4""",1,67.4500179366704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screws,Metal,"6 X 1-1/4""  Fine",8000- Box,1,42.5199626517274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
